Name,Family,Formation,Target Area,Equipment,Sections,Comments
Calf Raises,N/A,,Foot/Ankle,N/A,Get Ready,
Toe Taps,N/A,,Foot/Ankle,N/A,Get Ready,
Point & Flex,N/A,,Foot/Ankle,N/A,Get Ready,
Heel Toe Rocks,N/A,,Foot/Ankle,N/A,Get Ready,
Foot & Ankle Circles,N/A,,Foot/Ankle,N/A,Get Ready,
Mini Lunges Side to Side,Side Lunges,,Legs,N/A,Get Ready,
Baby Gate StepOvers,,,Legs,N/A,Get Ready,
Leg Swings Side to Side,,,Legs,N/A,Get Ready,
Leg Sings Front to Back,,,Legs,N/A,Get Ready,
Upper Back Round and Reach,,,Torso,N/A,Get Ready,
Woodchop,,,Torso,N/A,Get Ready,
Torso Rotation,,,Torso,N/A,Get Ready,
Lateral Flexion,,,Torso,N/A,Get Ready,
Head Tilt Side to Side,,,Head/Shoulders,N/A,Get Ready,
Head Tilt Ear to Shoulder,,,Head/Shoulders,N/A,Get Ready,
Arm Cricles,,,Head/Shoulders,N/A,Get Ready,
Shoulder Circles,,,Head/Shoulders,N/A,Get Ready,
Box Shuffle,Shuffle,Lateral,Legs,Cones,SAQ,Lateral shuffle around a box
Box Carioca,Carioca,Lateral,Legs,Cones,SAQ,Lateral Carioca around a box
Box Run and Shuffle,"Shuffle, Run","Lateral, Linear",Legs,Cones,SAQ,Alternate run (linear) and shuffle (lateral) around a box
Box Run and Backpedal,"Run, Backpedal",Linear,Legs,Cones,SAQ,"Alternate run and backpedal around a box, all linear"
Box Run,Run,Linear,Legs,Cones,SAQ,Run around a box
Double Line Lateral Butt Kickers,Butt Kickers,Lateral,Legs,Cones,SAQ,"Double line, butt kickers in a zigzag, moving laterally"
Double Line Lateral High Knees,High Knees,Lateral,Legs,Cones,SAQ,"Double line, high knees in a zigzag, moving laterally"
Double Line Lateral Shuffle,Shuffle,Lateral,Legs,Cones,SAQ,"Double line, shuffle in a zigzag, always on the same side"
Double Line Linear Butt Kickers,Butt Kickers,Linear,Legs,Cones,SAQ,"Double line, butt kickers in a zigzag, facing forward"
Double Line Linear High Knees,High Knees,Linear,Legs,Cones,SAQ,"Double line, high knees in a zigzag, facing forward"
Double Line Linear Shuffle,Shuffle,Linear,Legs,Cones,SAQ,"Double line, shuffle in a zigzag, alt sides"
Double Line Linear Power Skips,Power Skips,Linear,Legs,Cones,SAQ,"Double line, power skips in a zigzag, face forward"
Full Line Lateral High Knees and Sprint,"High Knees, Run",Lateral,Legs,Cones,SAQ,"High Knees moving sideways, sprint back to start"
Full Line Lateral Carioca and Sprint,"Carioca, Run",Lateral,Legs,Cones,SAQ,"Cariocas moving sideways, sprint back to start"
Full Line Lateral High Knees and Shuffle,"High Knees, Shuffle",Lateral,Legs,Cones,SAQ,"High Knees moving sideways, sprint back to start"
Full Line Lateral Carioca and Shuffle,"Carioca, Shuffle",Lateral,Legs,Cones,SAQ,"Cariocas moving sideways, shuffle back to start"
Full Line Lateral Shuffle and Sprint,"Shuffle, Run",Lateral,Legs,Cones,SAQ,"Shuffle moving sideways, run back to start"
Full Line Lateral Shuffle and Shuffle,Shuffle,Lateral,Legs,Cones,SAQ,"Shuffle moving sideways, and back, turning around so always same side"
Full Line Linear Run and Sprint,Run,Linear,Legs,Cones,SAQ,"Run straight down the line, turn around, run back"
Full Line Linear High Knees and Sprint,"High Knees, Run",Linear,Legs,Cones,SAQ,
,,Linear,Legs,Cones,SAQ,
,,Linear,Legs,Cones,SAQ,
,,Linear,Legs,Cones,SAQ,
,,Linear,Legs,Cones,SAQ,
,,Linear,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,Legs,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,Cones,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
,,,,,SAQ,
